"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd271",1.5987873441457e-37,0.850858393743152,0.69,0.34,2.67045450092656e-33,"7","Cd27"
"Ifngr12",1.12350111571602e-36,0.71714673725301,0.93,0.781,1.87658391358047e-32,"7","Ifngr1"
"Rpl13a1",1.110022398207e-34,0.423948372455518,1,0.999,1.85407041172515e-30,"7","Rpl13a"
"Ostf11",5.62182699657348e-34,0.794303090195581,0.885,0.781,9.39013763237669e-30,"7","Ostf1"
"Rpl23a1",4.58481314315791e-33,0.374165098313128,1,0.996,7.65801339301667e-29,"7","Rpl23a"
"Tmsb101",4.60071877509333e-32,0.483543173365836,1,0.995,7.68458057003839e-28,"7","Tmsb10"
"Cd8b1",6.39151961781975e-32,0.739523578032319,0.155,0.019,1.06757552176443e-27,"7","Cd8b1"
"Ets12",7.57325054413454e-32,0.634316378231819,0.89,0.672,1.26496003838679e-27,"7","Ets1"
"Tnfrsf181",4.33241942033903e-31,0.679687476165004,0.86,0.643,7.23644015779229e-27,"7","Tnfrsf18"
"Hcst3",9.93817141908818e-30,0.735234299739985,0.855,0.714,1.6599727721303e-25,"7","Hcst"
"H2-K1",1.13052093925273e-28,0.498421800429279,0.99,0.96,1.88830912483384e-24,"7","H2-K1"
"Ctsw1",3.83575651346205e-28,1.21600551621414,0.67,0.44,6.40686410443567e-24,"7","Ctsw"
"Fasl",4.64833182517642e-28,0.504823006185724,0.25,0.055,7.76410864759217e-24,"7","Fasl"
"Nmrk11",8.55308547160594e-28,1.13353798294958,0.47,0.203,1.42862186632234e-23,"7","Nmrk1"
"Gramd3",3.46778578808669e-27,1.09094858826623,0.47,0.213,5.79224260184119e-23,"7","Gramd3"
"Eef1a11",1.23589730614918e-26,0.306492880346695,1,0.999,2.06431927046097e-22,"7","Eef1a1"
"Rps15a1",1.53287021808368e-26,0.420103580047588,1,0.995,2.56035312526516e-22,"7","Rps15a"
"Rpl38",1.79204055610759e-26,0.330430654867655,0.995,0.992,2.99324534086651e-22,"7","Rpl38"
"Cotl12",1.80219789809332e-26,0.631028770988234,0.88,0.766,3.01021114918527e-22,"7","Cotl1"
"Gm8369",1.81559648447629e-26,0.470862124765013,0.175,0.03,3.03259080802074e-22,"7","Gm8369"
"Txk",7.51121832326535e-26,0.719492705712915,0.45,0.185,1.25459879653501e-21,"7","Txk"
"Ptpn222",1.76232045264254e-24,0.635686819903062,0.7,0.478,2.94360385204884e-20,"7","Ptpn22"
"Cd8a",8.27716294831577e-24,0.505791408511176,0.125,0.017,1.38253452725718e-19,"7","Cd8a"
"Rpl23a-ps31",2.48531481397996e-23,0.412933432721267,0.98,0.937,4.15122133379072e-19,"7","Rpl23a-ps3"
"Saraf3",2.82504916803548e-23,0.490269619702811,0.925,0.842,4.71867962536966e-19,"7","Saraf"
"Samd3",5.20880470354905e-23,0.279011090934129,0.13,0.018,8.70026649633798e-19,"7","Samd3"
"Cd6",5.73034110205454e-23,0.639850317821638,0.255,0.069,9.5713887427617e-19,"7","Cd6"
"Rps3",1.40435707919871e-22,0.297984352773785,1,0.999,2.34569762938561e-18,"7","Rps3"
"Rpl41",1.95898453725304e-22,0.334256310424035,0.995,0.985,3.27209187257375e-18,"7","Rpl4"
"Rpl33",3.61129536479882e-22,0.341900667841358,0.995,0.994,6.03194664782347e-18,"7","Rpl3"
"Rpl27",3.70152402045854e-22,0.329142713943142,0.995,0.984,6.1826555713719e-18,"7","Rpl27"
"Rps271",7.02173406506343e-22,0.349488444390729,0.995,1,1.17284024088754e-17,"7","Rps27"
"Gzmc",7.16303310705874e-22,2.84910583920314,0.41,0.19,1.19644141987202e-17,"7","Gzmc"
"Eif3h1",9.74526448986744e-22,0.433910490176042,0.91,0.881,1.62775152774256e-17,"7","Eif3h"
"Rps111",1.0449030637387e-21,0.293420784440399,1,0.997,1.74530158736275e-17,"7","Rps11"
"Rps71",2.35910215623602e-21,0.344575617540427,0.995,0.992,3.94040833156102e-17,"7","Rps7"
"Fau",9.41322249822011e-21,0.268805474552465,1,0.998,1.5722905538777e-16,"7","Fau"
"Sh2d2a1",1.41735597961049e-20,0.723824201976133,0.64,0.423,2.36740969274341e-16,"7","Sh2d2a"
"Vgll42",1.52690108244024e-20,0.580325315882899,0.805,0.7,2.55038287799993e-16,"7","Vgll4"
"Ubb",1.69937672184496e-20,0.288849527955744,1,0.998,2.83846893849764e-16,"7","Ubb"
"Rps241",2.02171354921546e-20,0.306909602057376,1,0.998,3.37686814125459e-16,"7","Rps24"
"Akap13",7.27947968660786e-20,0.52001548709852,0.84,0.752,1.21589149205411e-15,"7","Akap13"
"Rpl18a1",1.09244834295627e-19,0.303807371984673,1,0.999,1.82471646723985e-15,"7","Rpl18a"
"Tnfsf81",1.1183535895117e-19,0.980801162270013,0.285,0.096,1.8679860005614e-15,"7","Tnfsf8"
"Eef21",2.02091448447057e-19,0.32323783770187,0.995,0.984,3.37553346341118e-15,"7","Eef2"
"Gimap3",2.20720373337075e-19,0.461309131465525,0.25,0.073,3.68669239584917e-15,"7","Gimap3"
"Rps61",6.00925409072018e-19,0.295909433496686,1,0.997,1.00372571077299e-14,"7","Rps6"
"Rpl7",1.07247224152845e-18,0.310625704264929,0.985,0.981,1.79135038502497e-14,"7","Rpl7"
"H2-D11",1.35042607473486e-18,0.316343635882583,1,0.998,2.25561667262964e-14,"7","H2-D1"
"Pglyrp1",3.12105223501799e-18,0.883701791923359,0.345,0.143,5.21309354815055e-14,"7","Pglyrp1"
"Rpl81",5.277804456962e-18,0.269667993343019,1,0.993,8.81551678446363e-14,"7","Rpl8"
"Rpl361",1.73488457713527e-17,0.257982940609721,1,0.993,2.89777770918904e-13,"7","Rpl36"
"Ctla2a2",2.11329950027222e-17,0.539369392703823,0.93,0.833,3.5298441553047e-13,"7","Ctla2a"
"Nkg71",2.52641194229456e-17,0.455683598611279,0.85,0.69,4.2198658672146e-13,"7","Nkg7"
"Rps131",7.16052728654987e-17,0.274630605676511,1,0.996,1.19602287267243e-12,"7","Rps13"
