"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fstl11",1.58408454967953e-16,0.565139046790177,0.417,0.068,2.64589642332973e-12,"19","Fstl1"
"Dbi2",1.75075451500191e-16,1.41315208256423,1,0.613,2.92428526640769e-12,"19","Dbi"
"Ndnf1",2.21982445248925e-16,0.52042728116602,0.306,0.038,3.7077727829928e-12,"19","Ndnf"
"Snta1",3.53362513700403e-16,0.301736897343273,0.222,0.021,5.90221406633783e-12,"19","Snta1"
"Csf12",4.9395053148039e-16,0.567573537919961,0.306,0.038,8.25045572731695e-12,"19","Csf1"
"Gng11",6.51730560123999e-16,0.273905734034687,0.25,0.026,1.08858555457512e-11,"19","Gng11"
"Epdr1",7.07674612017148e-16,0.272083216462561,0.167,0.012,1.18202890445224e-11,"19","Epdr1"
"Pam1",1.0727449413937e-15,0.483845836444034,0.417,0.072,1.79180587560989e-11,"19","Pam"
"Col15a11",1.22190737345997e-15,0.370209229017948,0.222,0.021,2.04095188589019e-11,"19","Col15a1"
"Slc22a17",2.20743813586315e-15,0.271249743926016,0.194,0.017,3.68708391833221e-11,"19","Slc22a17"
"Pdzd2",2.21984833304966e-15,0.265189893643804,0.194,0.017,3.70781267069285e-11,"19","Pdzd2"
"Scd2",2.53486866139764e-15,1.00102087923945,0.556,0.139,4.23399112513248e-11,"19","Scd2"
"Phlda3",2.89395102109552e-15,0.41404766372075,0.278,0.034,4.83376639053584e-11,"19","Phlda3"
"Rnd32",3.15457544475642e-15,0.738282742220267,0.611,0.156,5.26908736537665e-11,"19","Rnd3"
"Fzd11",4.41813131669765e-15,0.416418745246871,0.25,0.028,7.37960473828008e-11,"19","Fzd1"
"Gbp73",4.68108840727018e-15,0.903019109694907,0.583,0.145,7.81882196666339e-11,"19","Gbp7"
"Nppb1",5.37026474927651e-15,0.453638436882103,0.139,0.009,8.96995321071655e-11,"19","Nppb"
"Gbp22",5.40796039955011e-15,1.75014287649815,0.667,0.203,9.03291625536856e-11,"19","Gbp2"
"Erbb3",6.01986543938221e-15,0.255495934423312,0.194,0.017,1.00549812434001e-10,"19","Erbb3"
"Cyp2j6",6.1643954226915e-15,0.503451131922544,0.278,0.035,1.02963896745216e-10,"19","Cyp2j6"
"Sncg",7.39980155374201e-15,0.387428052478205,0.194,0.017,1.23598885352153e-10,"19","Sncg"
"Dst1",9.97096301472341e-15,0.854917744562709,0.639,0.181,1.66544995234925e-10,"19","Dst"
"Ncam12",1.25744972002364e-14,0.358457103144428,0.278,0.035,2.10031826735548e-10,"19","Ncam1"
"Angptl41",1.56638586791422e-14,0.351870219639635,0.222,0.023,2.61633431517712e-10,"19","Angptl4"
"Sept4",3.22040966011959e-14,0.257468149367314,0.167,0.013,5.37905025529775e-10,"19","Sept4"
"Prkcdbp2",3.26761595982066e-14,0.5669369786857,0.417,0.077,5.45789893768845e-10,"19","Prkcdbp"
"Cd94",3.74653088777738e-14,1.55231532518812,1,0.668,6.25783054185456e-10,"19","Cd9"
"Tspan7",7.70987822278239e-14,0.298340608678186,0.194,0.018,1.28778095955134e-09,"19","Tspan7"
"Lbp",9.15415078741862e-14,0.263955627475305,0.139,0.01,1.52901780602253e-09,"19","Lbp"
"Emp22",9.75659275361313e-14,0.585136624789774,0.444,0.093,1.629643687636e-09,"19","Emp2"
"Phlda12",1.26943377887329e-13,1.72084300123416,0.917,0.541,2.12033524085206e-09,"19","Phlda1"
"Mt13",1.75107347456378e-13,1.92647389108301,0.972,0.608,2.92481802456387e-09,"19","Mt1"
"Slc44a11",1.95519277723644e-13,0.859283682220635,0.5,0.128,3.26575849581802e-09,"19","Slc44a1"
"Gja12",2.00578441035126e-13,0.990268542302285,0.444,0.093,3.35026170060971e-09,"19","Gja1"
"Ifit31",2.63778420887885e-13,1.7873920961329,0.472,0.111,4.40589096409035e-09,"19","Ifit3"
"Cxcl13",2.87307001194462e-13,1.91819965968266,0.528,0.133,4.79888884095109e-09,"19","Cxcl1"
"Irgm12",3.16905992669465e-13,1.13622777381677,0.611,0.181,5.29328079555808e-09,"19","Irgm1"
"Id33",3.56099506289259e-13,0.912740190502398,0.722,0.253,5.94793005354950e-09,"19","Id3"
"Megf9",3.7535666707182e-13,0.363131225578133,0.306,0.047,6.2695824101006e-09,"19","Megf9"
"Uaca",3.9215387568601e-13,0.421479721924321,0.139,0.01,6.55014618558343e-09,"19","Uaca"
"Sdc45",4.04327959703829e-13,1.44888439000302,0.972,0.59,6.75348991093305e-09,"19","Sdc4"
"Tnfrsf12a2",4.28823183713659e-13,0.914882589608489,0.778,0.28,7.16263363756925e-09,"19","Tnfrsf12a"
"Gpx81",5.1376454689073e-13,0.259928052544738,0.25,0.031,8.58140922671587e-09,"19","Gpx8"
"Slc9a3r2",5.88304797555271e-13,0.595786750724031,0.278,0.04,9.82645503356569e-09,"19","Slc9a3r2"
"Mt22",7.50322543780495e-13,1.53031530476139,0.833,0.368,1.25326374487656e-08,"19","Mt2"
"Cd2001",1.86427627058794e-12,0.771511029780577,0.417,0.087,3.11390065476303e-08,"19","Cd200"
"Axl1",3.23289927492549e-12,0.750462065543974,0.472,0.116,5.39991165890804e-08,"19","Axl"
"Cd815",3.28730317847697e-12,0.981081290954712,0.778,0.286,5.49078249901008e-08,"19","Cd81"
"Egr21",4.80611701917427e-12,0.432243240888705,0.333,0.06,8.02765725712678e-08,"19","Egr2"
"Emp12",6.26751086570933e-12,1.42365705866311,0.889,0.583,1.04686233989943e-07,"19","Emp1"
"Amotl12",6.35492209760458e-12,0.423880551533759,0.306,0.051,1.06146263796289e-07,"19","Amotl1"
"Snx101",6.39525655615726e-12,1.03223462980844,0.583,0.19,1.06819970257495e-07,"19","Snx10"
"Gbp33",7.21546152230848e-12,0.70981269729406,0.5,0.13,1.20519853807119e-07,"19","Gbp3"
"Sox6",8.36870400948906e-12,0.26268854527207,0.167,0.016,1.39782463070496e-07,"19","Sox6"
"Slc41a1",1.36616583218699e-11,0.504475896829733,0.472,0.116,2.28190678950192e-07,"19","Slc41a1"
"Thra1",1.40748370999629e-11,0.484629915008085,0.389,0.081,2.35092004080681e-07,"19","Thra"
"Adgra21",1.86967517817742e-11,0.283075015649216,0.194,0.023,3.12291845010974e-07,"19","Adgra2"
"Ifitm34",1.98598069867024e-11,0.84792499371536,1,0.59,3.3171835609889e-07,"19","Ifitm3"
"Zbtb201",2.03846840464133e-11,0.75388706414908,0.75,0.291,3.40485377627241e-07,"19","Zbtb20"
"Parva1",2.30159638183388e-11,0.258766697945473,0.194,0.023,3.84435643657713e-07,"19","Parva"
"Antxr11",2.47480073226385e-11,0.363578636679231,0.306,0.053,4.13365966310031e-07,"19","Antxr1"
"Cttn2",2.54756873582343e-11,0.518356805331108,0.333,0.065,4.25520405944587e-07,"19","Cttn"
"Agrn",2.79309015984809e-11,0.392755041171157,0.278,0.046,4.66529849399427e-07,"19","Agrn"
"Secisbp2l",2.80777288676837e-11,0.655166702571001,0.667,0.227,4.68982305276921e-07,"19","Secisbp2l"
"Egfl8",2.87191652116451e-11,0.643672931735108,0.306,0.055,4.79696216530108e-07,"19","Egfl8"
"Bmpr1a",2.90740129277686e-11,0.335625911861242,0.278,0.045,4.85623237932519e-07,"19","Bmpr1a"
"Socs5",4.49304553464195e-11,0.313788595545781,0.278,0.046,7.50473395651245e-07,"19","Socs5"
"L1cam",4.53758978406277e-11,0.436365179812656,0.444,0.107,7.57913621632004e-07,"19","L1cam"
"Col18a1",5.88275564518185e-11,0.449657019437339,0.222,0.031,9.82596675414724e-07,"19","Col18a1"
"Plpp31",6.16251883822925e-11,0.555864172402737,0.444,0.11,1.02932552154943e-06,"19","Plpp3"
"Efna52",9.36827790550839e-11,0.429739921313426,0.25,0.039,1.56478345855707e-06,"19","Efna5"
"Cxcl121",1.211306059306e-10,0.307224221045505,0.222,0.031,2.02324451085881e-06,"19","Cxcl12"
"Cd634",1.21471895125308e-10,0.702670273015344,0.917,0.424,2.02894506427802e-06,"19","Cd63"
"Map1b2",1.88018126164677e-10,0.571613496927129,0.722,0.269,3.14046676132861e-06,"19","Map1b"
"Socs33",1.98201091461927e-10,0.909231339882277,0.944,0.637,3.31055283068857e-06,"19","Socs3"
"Angptl21",2.08536213534202e-10,0.349527931756581,0.222,0.032,3.48318037466177e-06,"19","Angptl2"
"Pvrl3",2.09591703253319e-10,0.387269583913734,0.306,0.058,3.50081021944019e-06,"19","Pvrl3"
"Clstn1",2.24767381266574e-10,0.410156082926155,0.333,0.068,3.75428956929559e-06,"19","Clstn1"
"Rhob3",2.32081570708007e-10,0.83370320036503,0.556,0.178,3.87645847553583e-06,"19","Rhob"
"S1pr3",3.30253252151868e-10,0.304602399112454,0.194,0.025,5.51622007069266e-06,"19","S1pr3"
"Rbms3",3.32079926170754e-10,0.403248881322362,0.167,0.019,5.5467310068301e-06,"19","Rbms3"
"Txndc16",3.74869726996493e-10,0.303904315834151,0.278,0.049,6.26144905002242e-06,"19","Txndc16"
"Osmr2",3.80217131808653e-10,0.707749324892418,0.25,0.042,6.35076675259994e-06,"19","Osmr"
"Timp21",3.98412105960687e-10,0.604964755046132,0.806,0.378,6.65467740586135e-06,"19","Timp2"
"Tanc2",5.44329355431568e-10,0.340107956324796,0.306,0.059,9.09193322377348e-06,"19","Tanc2"
"Crip22",5.44888817909378e-10,0.74157800990309,0.778,0.345,9.10127792554034e-06,"19","Crip2"
"Plxdc21",6.19286528044632e-10,0.346052140901184,0.25,0.042,1.03439428779295e-05,"19","Plxdc2"
"Zcchc24",6.51927795256555e-10,0.262342762907269,0.25,0.042,1.08891499641702e-05,"19","Zcchc24"
"Bmp11",6.5594046531498e-10,0.387502820331277,0.194,0.027,1.09561735921561e-05,"19","Bmp1"
"Gdf15",6.76531541743478e-10,0.327854787780404,0.222,0.033,1.13001063417413e-05,"19","Gdf15"
"Bambi",7.52515217927003e-10,0.534882109817076,0.444,0.12,1.25692616850347e-05,"19","Bambi"
"Pyroxd1",7.99468150815238e-10,0.308170913644872,0.278,0.051,1.33535165230669e-05,"19","Pyroxd1"
"Tiparp5",1.17903394272174e-09,0.747294065693422,0.972,0.516,1.96934039452812e-05,"19","Tiparp"
"Rhoj",1.23615521584783e-09,0.290337275709206,0.167,0.02,2.06475005703064e-05,"19","Rhoj"
"Rgs162",1.2945046281032e-09,0.692120769488153,0.306,0.06,2.16221108032077e-05,"19","Rgs16"
"Afap1l2",1.29737266261559e-09,0.28431509696457,0.222,0.035,2.16700155836682e-05,"19","Afap1l2"
"Ppp2cb",1.31630633591748e-09,0.55892787422274,0.472,0.143,2.19862647288297e-05,"19","Ppp2cb"
"Dynlrb1",1.52425343437617e-09,0.659761040266205,0.944,0.695,2.54596051143852e-05,"19","Dynlrb1"
"Pcolce1",1.56445197031233e-09,0.398622239088827,0.25,0.042,2.61310412601268e-05,"19","Pcolce"
"Hs2st1",1.59222526107138e-09,0.570723706093245,0.5,0.153,2.65949385356753e-05,"19","Hs2st1"
"mt-Atp62",1.67227826798245e-09,0.433926520097942,1,1,2.79320639101109e-05,"19","mt-Atp6"
"Map1lc3a3",1.95915016039701e-09,0.803555661559557,0.861,0.518,3.27236851291112e-05,"19","Map1lc3a"
"Cadm12",1.97637035518788e-09,0.702384262780993,0.333,0.077,3.30113140427032e-05,"19","Cadm1"
"Csrp15",2.01092431644688e-09,0.991148508511258,0.806,0.417,3.35884688576122e-05,"19","Csrp1"
"Fam89a1",2.29233446876372e-09,0.362658041335743,0.278,0.053,3.82888626317604e-05,"19","Fam89a"
"Ptrf1",2.99932716025501e-09,0.605374457394245,0.333,0.077,5.00977615577394e-05,"19","Ptrf"
"Mprip1",3.24804581889835e-09,0.540085878520906,0.5,0.165,5.42521093130592e-05,"19","Mprip"
"Gbp52",4.41492697034423e-09,0.342093348125316,0.333,0.074,7.37425251856596e-05,"19","Gbp5"
"Trim471",4.52462687025709e-09,0.510598021037343,0.333,0.078,7.55748426139042e-05,"19","Trim47"
"Cltb1",5.13792133516515e-09,0.739396331686037,0.833,0.46,8.58187000612635e-05,"19","Cltb"
"Gnai12",7.90492889695802e-09,0.37676905976118,0.25,0.047,0.00013203602736589,"19","Gnai1"
"Serpinh11",9.03410081473507e-09,0.408745608044827,0.333,0.076,0.00015089658590852,"19","Serpinh1"
"Bag32",9.33518600484436e-09,0.619315888033376,0.639,0.261,0.000155925611838915,"19","Bag3"
"Nid21",9.49356732615541e-09,0.30036589894496,0.278,0.056,0.000158571055048774,"19","Nid2"
"Gadd45a2",9.78024449290638e-09,0.71768687511931,0.556,0.2,0.000163359423765015,"19","Gadd45a"
"Pmm1",1.11228392689889e-08,0.450427146571023,0.306,0.069,0.000185784784309922,"19","Pmm1"
"Bcar1",1.14877106813364e-08,0.356649114440568,0.167,0.023,0.000191879231510362,"19","Bcar1"
"Arid5b4",1.20932886021339e-08,0.883605818281652,0.556,0.21,0.000201994199521442,"19","Arid5b"
"1810043G02Rik",1.26624134608218e-08,0.30364165219734,0.25,0.047,0.000211500292036107,"19","1810043G02Rik"
"Laptm4a2",1.72830068586114e-08,0.747507806838578,0.944,0.596,0.000288678063559385,"19","Laptm4a"
"Epn2",1.91951650622314e-08,0.261923579968466,0.167,0.023,0.000320616842034452,"19","Epn2"
"Pcbp4",2.07350210261073e-08,0.340809017967142,0.333,0.079,0.00034633705619907,"19","Pcbp4"
"Ndufa4l21",2.74056736414846e-08,0.427638541447704,0.222,0.039,0.000457756966833718,"19","Ndufa4l2"
"Fermt24",3.03772288884924e-08,0.49779767033411,0.833,0.384,0.000507390854124489,"19","Fermt2"
"Ccl24",3.47449027934339e-08,2.02008815680333,0.611,0.265,0.000580344111358727,"19","Ccl2"
"Mpv17",3.59742201467263e-08,0.330432626816762,0.333,0.085,0.000600877399110769,"19","Mpv17"
"Lmo42",4.34275941344387e-08,0.620780099297745,0.833,0.467,0.00072537110482753,"19","Lmo4"
"Gnaq",4.5675280046804e-08,0.511567274227577,0.444,0.145,0.000762914202621768,"19","Gnaq"
"Erf1",5.1726678769496e-08,0.603492506294076,0.528,0.202,0.000863990715486892,"19","Erf"
"Atf32",5.53310754666819e-08,0.775025652173928,0.778,0.421,0.000924194953519987,"19","Atf3"
"Entpd11",5.5536435671749e-08,0.482264728715267,0.417,0.128,0.000927625085025223,"19","Entpd1"
"Fgfr12",5.58278621871321e-08,0.285572487301319,0.389,0.106,0.000932492782111668,"19","Fgfr1"
"Kat2b",5.68528822562024e-08,0.363699711895096,0.333,0.087,0.000949613692325348,"19","Kat2b"
"Gadd45g2",6.32796972537022e-08,1.04145629188487,0.667,0.309,0.00105696078322859,"19","Gadd45g"
"Myc1",8.42137237855256e-08,0.674842661438011,0.417,0.134,0.00140662182838963,"19","Myc"
"Egr13",8.72160755781672e-08,0.819173573245134,0.639,0.288,0.00145677011038213,"19","Egr1"
"Frmd61",1.10361507466252e-07,0.636261911833706,0.333,0.09,0.00184336825920881,"19","Frmd6"
"Jun3",1.20625371805813e-07,0.90102637403922,0.778,0.406,0.0020148055852725,"19","Jun"
"Frmd4a",1.48919595193252e-07,0.42381945405572,0.333,0.09,0.00248740399851289,"19","Frmd4a"
"Qk",1.54000076650966e-07,0.655990940982346,0.694,0.358,0.00257226328030109,"19","Qk"
"Lgalsl",2.11871915408485e-07,0.31737205786329,0.25,0.053,0.00353889660306793,"19","Lgalsl"
"Slc27a1",2.13628188297686e-07,0.326823035936054,0.25,0.055,0.00356823162913624,"19","Slc27a1"
"C1ra1",2.4425953295097e-07,0.297350199126246,0.139,0.019,0.00407986697888005,"19","C1ra"
"Fos4",2.47843264754606e-07,0.868071033520685,0.972,0.797,0.00413972605119618,"19","Fos"
"Nfatc21",2.59159663685087e-07,0.411132024684439,0.389,0.116,0.00432874386253201,"19","Nfatc2"
"Fkbp71",2.68073519372367e-07,0.254492918220326,0.222,0.044,0.00447763199407664,"19","Fkbp7"
"Marcksl16",2.71317164989614e-07,0.957705656454177,0.889,0.667,0.00453181060682152,"19","Marcksl1"
"Zbtb382",2.7929586149575e-07,0.379310479679712,0.5,0.177,0.00466507877456351,"19","Zbtb38"
"Tubb63",3.11735758627187e-07,0.784005276810355,0.667,0.319,0.0052069223763499,"19","Tubb6"
"Drap11",3.16940592562618e-07,0.52687959397669,0.806,0.492,0.00529385871757341,"19","Drap1"
"Fam234a",3.20258574819167e-07,0.357223533318659,0.333,0.093,0.00534927897520454,"19","Fam234a"
"Slc35b2",3.35590476853477e-07,0.383469946384637,0.444,0.151,0.00560536773488362,"19","Slc35b2"
"Malat15",3.83770584980298e-07,0.37655781811197,1,1,0.00641012008092591,"19","Malat1"
"Comt1",4.32886418607979e-07,0.829568034951754,0.75,0.427,0.00723050185000907,"19","Comt"
"Irf12",4.56166477632197e-07,0.736856136369293,0.528,0.213,0.00761934867589059,"19","Irf1"
"Rhoc4",4.5815604622704e-07,0.437612459153781,0.639,0.291,0.00765258044013026,"19","Rhoc"
"Cd151",4.5888692477042e-07,0.416569734266238,0.389,0.121,0.00766478830444032,"19","Cd151"
"Ttc9",4.65082688723638e-07,0.255999843661479,0.167,0.028,0.00776827614975093,"19","Ttc9"
"Ppic1",4.89862978263675e-07,0.458303824925992,0.333,0.093,0.00818218132593817,"19","Ppic"
"Klf43",5.2357714158046e-07,0.64987469013079,0.917,0.613,0.00874530899581843,"19","Klf4"
"Ptpn121",6.02637106239502e-07,0.373435211534595,0.528,0.207,0.0100658475855184,"19","Ptpn12"
"Adam10",6.23809846474559e-07,0.56432761552707,0.5,0.196,0.0104194958656646,"19","Adam10"
"Tmem47",6.5310830986566e-07,0.267234193471736,0.111,0.013,0.0109088680996861,"19","Tmem47"
"App6",6.59736546425009e-07,0.535349952991814,0.694,0.338,0.0110195795349369,"19","App"
"Sema4f",7.40243233980762e-07,0.298952734349232,0.194,0.037,0.0123642827371807,"19","Sema4f"
"Ints6",7.51528677949844e-07,0.274996823308613,0.278,0.069,0.0125527835077962,"19","Ints6"
"Hnrnph12",7.57936862737424e-07,0.6156446825062,0.806,0.464,0.0126598194183032,"19","Hnrnph1"
"Trim2",7.62693890505511e-07,0.326587338543172,0.194,0.037,0.0127392760531135,"19","Trim2"
"Sat15",8.28598326604498e-07,0.584374095676143,0.944,0.778,0.0138400778492749,"19","Sat1"
"Tmem184c",8.6994806147156e-07,0.27029470268479,0.222,0.048,0.0145307424707595,"19","Tmem184c"
"Col27a14",8.95345263192421e-07,0.514860704250652,0.667,0.281,0.014954951931103,"19","Col27a1"
"Gldn1",9.14831936897355e-07,0.257108951049689,0.167,0.028,0.0152804378419965,"19","Gldn"
"Timp12",9.15274698175145e-07,0.854888595820755,0.472,0.184,0.0152878332836194,"19","Timp1"
"Cyp1b11",9.5058522920824e-07,0.527919147301787,0.111,0.014,0.0158776250834652,"19","Cyp1b1"
"Eif12",1.08218602345965e-06,0.306352930687587,1,0.999,0.0180757531498465,"19","Eif1"
"Gstm12",1.14647888745056e-06,0.390117381388423,0.472,0.172,0.0191496368570867,"19","Gstm1"
"Cdkn1a6",1.16838626406064e-06,0.439166005876531,1,0.888,0.0195155557686049,"19","Cdkn1a"
"Kctd111",1.23930316539287e-06,0.483072564003603,0.25,0.062,0.0207000807715571,"19","Kctd11"
"Lyz23",1.29067674362208e-06,0.840935788203174,0.944,0.741,0.0215581736487196,"19","Lyz2"
"Ybx32",1.34181078376534e-06,0.460675612566074,0.667,0.326,0.0224122655212325,"19","Ybx3"
"Cmpk2",1.38682533806355e-06,0.429545011680757,0.194,0.039,0.0231641436216755,"19","Cmpk2"
"Maff4",1.50864540480987e-06,0.664612159421105,0.806,0.525,0.0251989041965392,"19","Maff"
"Map3k41",1.51628872581487e-06,0.271607774174277,0.306,0.085,0.0253265705872859,"19","Map3k4"
"Dynll11",1.51817049428094e-06,0.384772873267321,0.972,0.953,0.0253580017659745,"19","Dynll1"
"Map22",1.51874456628502e-06,0.405667745303383,0.417,0.145,0.0253675904906587,"19","Map2"
"Sema3c1",1.53197314041053e-06,0.323434284377667,0.194,0.038,0.0255885473642771,"19","Sema3c"
"Jund4",1.59524361355897e-06,0.511733600381176,1,0.941,0.0266453540772755,"19","Jund"
"Mat2a2",1.69962339036458e-06,0.612548429462211,0.889,0.678,0.0283888094892595,"19","Mat2a"
"Nfia2",1.87261527603766e-06,0.525277151907087,0.25,0.062,0.0312782929556571,"19","Nfia"
"Ddah2",1.87670956602907e-06,0.298621101720581,0.194,0.039,0.0313466798813836,"19","Ddah2"
"Junb4",1.96547367605513e-06,0.395803875484184,1,0.983,0.0328293068111489,"19","Junb"
"Fbxo301",2.02427374791402e-06,0.4632430131524,0.639,0.303,0.0338114444114079,"19","Fbxo30"
"Acot1",2.34926827914712e-06,0.341606497142935,0.139,0.022,0.0392398280665943,"19","Acot1"
"Fxyd21",2.5077473964697e-06,0.274333731843441,0.25,0.062,0.0418869047632334,"19","Fxyd2"
"Sphk12",2.56858567193464e-06,0.480082005247995,0.333,0.104,0.0429030864783242,"19","Sphk1"
"Zeb25",2.58088117491112e-06,0.438850997609453,0.722,0.361,0.0431084582645405,"19","Zeb2"
"Tubb3",2.61266448988024e-06,0.400958773581367,0.222,0.05,0.0436393349744697,"19","Tubb3"
"H2-Q42",2.96379638134147e-06,0.536932395330041,0.806,0.484,0.0495042909575466,"19","H2-Q4"
"Ptprs1",3.02491994637959e-06,0.405760740956284,0.472,0.185,0.0505252378643783,"19","Ptprs"
"Irgm21",3.17607249729043e-06,0.456712523445646,0.306,0.09,0.0530499389222421,"19","Irgm2"
"Wwp1",3.41964872218904e-06,0.288553840339046,0.333,0.101,0.0571183926067235,"19","Wwp1"
"Ptk2",3.52381781332434e-06,0.337540250563136,0.167,0.031,0.0588583289359565,"19","Ptk2"
"Cxcl10",3.84976750735887e-06,1.25251113802835,0.333,0.105,0.0643026666754151,"19","Cxcl10"
"Mocs2",4.66433005059271e-06,0.571032605102196,0.5,0.218,0.07790830483505,"19","Mocs2"
"Rtp42",4.89578632405082e-06,0.677621691380151,0.556,0.253,0.0817743189706209,"19","Rtp4"
"Slc43a3",4.97647233237564e-06,0.298251933706812,0.194,0.042,0.0831220173676702,"19","Slc43a3"
"Ahr2",5.05478549452257e-06,0.477819417444601,0.583,0.283,0.0844300821150105,"19","Ahr"
"Btd",5.71468880434939e-06,0.278029221390923,0.222,0.052,0.0954524470990478,"19","Btd"
"mt-Cytb2",5.72550729399545e-06,0.308814498654732,1,0.983,0.095633148331606,"19","mt-Cytb"
"Nudt3",5.73730993214748e-06,0.404735617780654,0.417,0.159,0.0958302877966593,"19","Nudt3"
"Cuedc1",6.57192687349444e-06,0.250827997578607,0.167,0.032,0.109770894567978,"19","Cuedc1"
"Ncald2",6.65831161128172e-06,0.516566949443118,0.333,0.111,0.111213778843239,"19","Ncald"
"Cfl2",7.71740205794605e-06,0.652876618631668,0.361,0.129,0.128903766573873,"19","Cfl2"
"Ide",7.82586523961763e-06,0.259172370928784,0.389,0.137,0.130715427097333,"19","Ide"
"Nol4l",8.01796189946656e-06,0.286099660573943,0.278,0.076,0.13392401760679,"19","Nol4l"
"Fam213b1",8.63459619202633e-06,0.400011085020853,0.278,0.08,0.144223660195416,"19","Fam213b"
"Acsl3",8.73923771359811e-06,0.392647754718154,0.361,0.124,0.145971487530229,"19","Acsl3"
"Fam63b",9.18363739714244e-06,0.428937035355329,0.5,0.218,0.15339429544447,"19","Fam63b"
"Sec63",1.03608753882393e-05,0.341942992946352,0.528,0.23,0.173057701609761,"19","Sec63"
"Sepp14",1.25769145178776e-05,0.327470252729016,0.75,0.386,0.21007220319211,"19","Sepp1"
"Add3",1.29103883314537e-05,0.370093950069568,0.389,0.144,0.215642216300271,"19","Add3"
"Plk21",1.38696032672081e-05,0.714217591371621,0.361,0.131,0.231663983372177,"19","Plk2"
"Casp41",1.40794875995995e-05,0.606566298453377,0.5,0.225,0.235169681376111,"19","Casp4"
"Srebf1",1.46369860142578e-05,0.32559268667183,0.389,0.143,0.244481577396148,"19","Srebf1"
"Lbh2",1.46384254784999e-05,0.346563275891228,0.667,0.331,0.244505620767384,"19","Lbh"
"Clic43",1.48306870092374e-05,0.926786757360774,0.778,0.55,0.247716965115292,"19","Clic4"
"Nr4a24",1.5842716485895e-05,0.50383012884188,0.806,0.57,0.264620893463904,"19","Nr4a2"
"Itgb13",1.66526479665189e-05,0.481569603420372,0.833,0.543,0.278149178984766,"19","Itgb1"
"Zfp364",1.81435827049003e-05,0.496892924516982,0.944,0.721,0.30305226191995,"19","Zfp36"
"Isg155",1.85051232524923e-05,0.565393825644589,0.778,0.488,0.309091073686379,"19","Isg15"
"Tspan43",1.87526913056266e-05,0.276885564050806,0.361,0.127,0.313226202877881,"19","Tspan4"
"Nfic1",1.94137627716256e-05,0.459255922465117,0.389,0.147,0.324268079574463,"19","Nfic"
"Adh71",2.11209383102904e-05,0.323892748514558,0.222,0.058,0.35278303259678,"19","Adh7"
"Iqgap2",2.41489280636617e-05,0.377872979349685,0.472,0.199,0.403359545447341,"19","Iqgap2"
"Akap2",2.46268683992202e-05,0.351848480163201,0.222,0.058,0.411342582872176,"19","Akap2"
"Trib12",2.54270517104991e-05,0.809826918276228,0.472,0.226,0.424708044720466,"19","Trib1"
"Pelo",2.54402434948143e-05,0.349509232417504,0.333,0.118,0.424928387093883,"19","Pelo"
"Arhgef121",2.71671916544593e-05,0.305282918117682,0.306,0.099,0.453773602204434,"19","Arhgef12"
"Utrn",2.7422142452858e-05,0.421374722953404,0.417,0.171,0.458032045390087,"19","Utrn"
"Fosl24",3.12819579172245e-05,0.363834200818454,0.972,0.827,0.5225025430914,"19","Fosl2"
"Ier51",3.19769188322977e-05,0.553773670830404,0.889,0.759,0.534110475255868,"19","Ier5"
"Gm122162",3.70381070317951e-05,0.449912753415554,0.25,0.072,0.618647501752074,"19","Gm12216"
"Atp8b11",3.71228264061028e-05,0.278114270055526,0.222,0.061,0.620062569461134,"19","Atp8b1"
"Frat2",3.90258215575925e-05,0.440479268027466,0.278,0.087,0.651848297476467,"19","Frat2"
"Fosb5",3.9370336292553e-05,0.641654868058464,0.75,0.483,0.657602727094514,"19","Fosb"
"1810011O10Rik",3.97967545507099e-05,0.269432125139263,0.111,0.018,0.664725191260507,"19","1810011O10Rik"
"Hmgn31",4.05944254759409e-05,0.463899558893516,0.333,0.123,0.678048688724641,"19","Hmgn3"
"Igsf31",4.13501099273637e-05,0.324524352233357,0.333,0.12,0.690670886116756,"19","Igsf3"
"Dhrs1",4.146352995035e-05,0.577715610659903,0.528,0.286,0.692565340760696,"19","Dhrs1"
"Adamts9",4.21042692370139e-05,0.261758243534175,0.111,0.018,0.703267609065844,"19","Adamts9"
"Kif1b2",4.31073537378574e-05,0.352034852372104,0.639,0.33,0.720022129483432,"19","Kif1b"
"Rock22",4.32945469086609e-05,0.501994470134196,0.556,0.304,0.723148817015363,"19","Rock2"
"Fbxo7",4.35778170588075e-05,0.344202243534446,0.25,0.076,0.727880278333262,"19","Fbxo7"
"Nedd42",4.54245952797598e-05,0.551621503490858,0.5,0.249,0.758727014957829,"19","Nedd4"
"Rgcc5",4.67270858732855e-05,0.489889228167945,0.917,0.713,0.780482515341488,"19","Rgcc"
"Itga11",4.69736806527292e-05,0.416146599215911,0.194,0.05,0.784601387942536,"19","Itga1"
"Rnf2132",4.7038727787146e-05,0.396518247893522,0.444,0.194,0.785687870228699,"19","Rnf213"
"Sep152",4.74091892465005e-05,0.51468206539295,0.972,0.785,0.791875687984298,"19","Sep15"
"Nr4a15",4.87766194843724e-05,0.377432740165385,0.833,0.599,0.814715875247472,"19","Nr4a1"
"Tppp34",4.89243596685356e-05,0.747436367685771,0.639,0.383,0.81718357954355,"19","Tppp3"
"Hspa22",5.02823279085767e-05,0.549333199721878,0.472,0.213,0.839865723056956,"19","Hspa2"
