"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"122",0.281102452613402,-0.277251401642155,0.911,0.763,1,"Ms4a4c",5
"123",0.43444022310086,-0.304304348436345,0.994,0.789,1,"Errfi1",5
"124",0.477651086335979,-0.523306955704648,0.969,0.75,1,"Plac8",5
"125",0.493402744461477,-0.260075673937605,0.769,0.546,1,"Irf7",5
"126",0.732804337039987,-0.363600381145386,0.869,0.809,1,"Cxcl2",5
"127",0.75779388031727,-0.298776361288748,0.98,0.855,1,"Apoe",5
"128",0.775292319069324,-0.468641396060526,0.932,0.684,1,"Ly6c2",5
"129",0.813489985053297,-0.330693290403526,0.996,0.947,1,"Gm42418",5
"130",0.950448354537263,0.251319132326663,0.534,0.316,1,"Ccl4",5
"131",0.982622158920525,-0.272510070358808,0.967,0.783,1,"Sdc4",5
"132",7.02384480096776e-05,-0.31619731056535,0.699,0.389,0.140476896019355,"Ccl17",6
"133",0.00136922523541376,-0.26662422753203,0.847,0.721,1,"Hspa1a",6
"134",0.0015225196056296,-0.271783085068817,1,0.989,1,"Tnfaip2",6
"135",0.0046917160708217,-0.382506657200951,0.817,0.647,1,"Ccl7",6
"136",0.00664042113845272,-0.253651404593453,1,0.986,1,"Sdc4",6
"137",0.0162683164673565,-0.29837308036843,0.948,0.714,1,"Cxcl1",6
"138",0.0398446724260223,-0.254818978267135,0.978,0.912,1,"Dusp2",6
"139",0.0823931133814112,-0.268472040115159,1,0.908,1,"Gpr183",6
"140",0.0915914662085686,-0.294020780322277,0.983,0.926,1,"H2-M2",6
"141",0.107237250358606,-0.385000127946185,0.991,0.94,1,"Il1b",6
"142",0.158307291030436,-0.270221060220065,0.847,0.664,1,"Grasp",6
"143",0.183272964914265,-0.251126362275835,1,0.982,1,"Bcl2a1b",6
"144",0.303408268433664,-0.402617119466739,0.996,0.965,1,"Cxcl2",6
"145",0.626300919244732,0.25062307600801,0.515,0.385,1,"Il22",6
"146",0.905310077302536,-0.270918402794412,0.974,0.94,1,"Pgf",6
"147",1.8305134013284e-07,0.298311930649665,0.396,0.64,0.00036610268026568,"Il17a",7
"148",3.9637523320492e-07,-0.257630225117895,0.792,0.472,0.00079275046640984,"Hlf",7
"149",7.74494659686611e-05,-0.384925748255176,0.717,0.386,0.154898931937322,"Calca",7
"150",0.000117461690366675,-0.276491444745153,0.896,0.603,0.23492338073335,"Areg",7
"151",0.000290877974228602,0.308017555110628,0.415,0.367,0.581755948457203,"Il17f",7
"152",0.000661564017955162,-0.306316415030351,0.981,0.76,1,"Mt1",7
"153",0.0123307609257499,-0.300010528367849,0.929,0.648,1,"Penk",7
"154",0.0134494925943646,-0.29992311794795,0.807,0.757,1,"Psme2",7
"155",0.0177771267761955,-0.331008600837662,0.962,0.944,1,"Odc1",7
"156",0.0200666277862454,0.351677897303306,0.373,0.206,1,"Klra4",7
"157",0.0403417524256212,-0.250413576540728,0.854,0.719,1,"Rrad",7
"158",0.0415640158221846,-0.314008661122495,0.797,0.7,1,"Cd28",7
"159",0.0491854531460439,-0.257084667509358,0.849,0.633,1,"Got1",7
"160",0.0568128437249685,0.496934547330133,0.443,0.236,1,"Plac8",7
"161",0.114952831575237,-0.418410420294426,0.642,0.633,1,"Car2",7
"162",0.147907942292254,0.719366619094363,0.557,0.378,1,"Il22",7
"163",0.192024446483093,-0.309389190106606,0.745,0.506,1,"Ifi27l2a",7
"164",0.229090401783209,-0.30693524161096,0.854,0.644,1,"Fgl2",7
